7.460	0.013	0.015
7.369	0.019	0.014
7.372	0.015	0.021
7.369	0.021	0.014
7.357	0.031	0.010
7.380	0.022	0.021
7.313	0.009	0.024
7.334	0.019	0.015
7.352	0.022	0.023
7.380	0.006	0.033
7.367	0.017	0.018
7.414	0.021	0.015
7.349	0.013	0.033
7.330	0.030	0.017
7.448	0.025	0.022
7.373	0.005	0.034
7.373	0.016	0.028
7.359	0.020	0.018
7.415	0.019	0.030
7.336	0.026	0.020
7.361	0.028	0.012
7.314	0.025	0.020
8.430	0.015	0.028
7.362	0.032	0.013
7.357	0.021	0.016
7.375	0.005	0.031
7.384	0.015	0.030
7.393	0.024	0.013
7.378	0.028	0.011
7.332	0.023	0.023
7.471	0.021	0.017
7.367	0.012	0.025
7.368	0.018	0.015
7.425	0.015	0.026
7.383	0.011	0.020
7.377	0.017	0.016
7.427	0.029	0.018
7.431	0.024	0.019
7.577	0.015	0.025
7.356	0.018	0.028
7.408	0.015	0.030
7.349	0.025	0.020
7.365	0.016	0.031
7.349	0.022	0.022
7.340	0.028	0.018
7.361	0.022	0.023
7.353	0.023	0.025
7.355	0.024	0.021
7.417	0.011	0.032
7.550	0.016	0.030
7.375	0.017	0.026
7.381	0.022	0.019
7.392	0.024	0.020
7.385	0.022	0.026
7.339	0.031	0.015
7.426	0.027	0.019
7.356	0.026	0.024
7.374	0.026	0.020
7.452	0.015	0.028
7.379	0.028	0.019
8.357	0.021	0.023
7.381	0.018	0.027
7.384	0.015	0.034
7.398	0.029	0.020
7.390	0.015	0.028
7.365	0.026	0.020
7.478	0.027	0.021
7.357	0.021	0.020
7.416	0.023	0.030
7.359	0.013	0.035
7.415	0.016	0.029
7.427	0.018	0.028
7.341	0.016	0.031
7.416	0.022	0.029
7.357	0.018	0.028
7.335	0.024	0.022
7.328	0.020	0.027
7.325	0.021	0.025
7.367	0.021	0.024
7.379	0.020	0.022
7.364	0.020	0.025
7.374	0.024	0.025
7.344	0.023	0.023
7.356	0.027	0.013
7.375	0.022	0.023
7.379	0.020	0.019
7.331	0.035	0.012
7.406	0.035	0.012
7.338	0.023	0.014
7.350	0.020	0.025
7.388	0.028	0.040
7.419	0.028	0.017
7.318	0.023	0.024
7.412	0.024	0.021
7.354	0.035	0.011
7.390	0.027	0.012
7.368	0.024	0.019
7.435	0.024	0.020
7.312	0.018	0.024
7.374	0.019	0.021
